Full Name;Passport Number;Date of Birth;Nationality;Visa Type;Arrival Date;Departure Date;Immigration Status
April Lara;403818294;1977-12-07;Nicaragua;Tourist;2019-09-24;2022-11-10;Valid
Lawrence Meyer;210414319;1962-10-13;Congo;Student;2008-06-21;2015-02-03;Pending
Javier Gonzalez;892041414;1995-12-18;Greece;Tourist;2021-08-09;2011-01-12;Valid
Lisa Hood;181491801;1977-06-19;Jordan;Tourist;2018-06-13;2008-09-05;Pending
Timothy Flores;170392845;1955-09-12;Monaco;Work;2012-09-14;2019-10-15;Expired
Michael Griffin;734023817;1979-09-09;Poland;Work;2019-10-10;2017-11-13;Valid
Gregory Welch;386366742;1979-04-14;Romania;Work;2002-08-03;2015-12-15;Pending
Gary Thompson;741151459;1976-03-10;Venezuela;Diplomatic;2015-10-07;2005-07-26;Pending
Mark Pitts;41820294;1980-02-15;Marshall Islands;Student;2008-02-07;2010-03-29;Expired
Dana Harper;832354089;1967-09-04;Sierra Leone;Diplomatic;2014-07-24;2011-01-18;Valid
Casey Rodriguez;484265144;1954-09-05;Lithuania;Diplomatic;2011-12-28;2011-07-14;Valid
Michael Wilson;506164772;1973-03-17;Botswana;Diplomatic;2020-03-29;2013-01-24;Valid
Nancy Lopez;896331268;1960-04-27;Portugal;Tourist;2016-05-15;2011-03-07;Pending
Alexander Duffy;469895520;1980-09-25;Maldives;Diplomatic;2018-01-20;2002-08-11;Expired
Nathan Mccoy;223086372;1997-07-28;Tuvalu;Student;2012-06-15;2013-02-28;Valid
Kelly Jones;633446694;1967-07-20;United States Virgin Islands;Tourist;2001-12-01;2017-01-08;Valid
Stephanie Hunter;316174272;1971-12-16;Russian Federation;Student;2018-05-07;2011-04-11;Pending
Michael Leach;967072111;1997-07-20;Nepal;Student;2000-06-28;2014-08-13;Expired
Aaron Walker;160811431;1965-10-17;Mali;Tourist;2021-11-02;2006-03-28;Pending
Jennifer Shaw;656281091;1971-03-14;Guadeloupe;Student;2008-03-19;2001-09-18;Valid
Whitney Collins;943450104;1961-01-09;Holy See (Vatican City State);Tourist;2001-11-16;2008-05-27;Valid
Justin Johnson;571019870;1955-06-29;Netherlands Antilles;Diplomatic;2008-09-30;2018-03-05;Valid
Kristin Ford;401073590;1998-03-10;Morocco;Student;2001-12-18;2022-10-06;Valid
Justin Davis;476203806;1993-07-29;New Zealand;Student;2000-12-30;2003-11-12;Valid
Stephen Robinson;728374749;1983-08-04;Svalbard & Jan Mayen Islands;Diplomatic;2016-10-08;2015-11-08;Expired
Benjamin Garcia;713786971;1955-10-02;Samoa;Tourist;2007-07-14;2012-06-15;Expired
Todd Arnold DDS;696651161;1971-03-10;Turkey;Student;2006-12-14;2011-10-24;Pending
Kristen Chambers;888768083;1990-05-02;Chad;Work;2009-09-14;2004-04-28;Pending
Phyllis Reeves;168420425;1992-04-20;Barbados;Student;2013-11-19;2018-10-27;Valid
Pamela Bryant;982746669;1990-07-12;South Africa;Work;2004-03-14;2019-08-26;Valid
Christina Gordon;556560462;1982-05-09;Gabon;Tourist;2008-02-19;2019-01-13;Valid
Donald Gonzalez;310188261;1959-06-03;Nigeria;Diplomatic;2013-08-25;2001-10-03;Pending
William Jacobs;881247791;1985-06-14;India;Student;2001-05-29;2002-10-12;Valid
Jordan Guerra;503544302;1991-03-06;Angola;Tourist;2008-07-08;2015-06-20;Expired
Melissa Gibson;946637019;1960-12-20;Zimbabwe;Student;2010-06-21;2021-01-18;Pending
John Reeves;442568330;1997-11-04;Burundi;Tourist;2014-03-03;2014-07-22;Pending
Brittany Alvarez;95007729;1984-01-17;Brunei Darussalam;Tourist;2000-08-29;2012-01-07;Valid
Tammy Oconnor;116244465;1957-03-18;Kiribati;Diplomatic;2020-09-20;2014-10-04;Expired
Leslie Barrett;208558854;1983-05-21;Tajikistan;Student;2018-06-06;2005-07-28;Expired
Pamela Smith;543860400;1959-10-31;Mauritius;Tourist;2003-06-06;2012-06-07;Expired
Eric Taylor;180740988;1982-04-20;Guadeloupe;Diplomatic;2022-05-18;2008-04-11;Valid
Javier Howell;806656461;1965-04-08;Malta;Diplomatic;2015-05-11;2010-01-30;Expired
Dr. Melinda Taylor;656210362;1985-10-30;Antarctica (the territory South of 60 deg S);Tourist;2002-06-19;2012-12-01;Expired
Christopher Davila;619898278;1957-07-18;Albania;Student;2004-12-23;2017-10-14;Expired
Caleb Jackson;639280869;1954-04-01;Lithuania;Work;2017-10-21;2023-02-07;Pending
Robert Mendoza;588737037;1955-02-15;Western Sahara;Tourist;2021-01-18;2020-12-20;Expired
Michael Holder;530721988;1960-09-10;Azerbaijan;Work;2019-09-06;2013-08-06;Pending
Joyce Mendez DVM;739599762;1992-08-21;Uruguay;Work;2007-01-19;2013-08-22;Pending
Cheryl Estes;979311028;1989-04-01;Cuba;Student;2005-10-23;2004-01-26;Expired
Kristina Porter;352572204;2003-05-16;Gabon;Student;2015-01-22;2020-08-14;Valid
Diana Nunez;808585367;2004-05-24;Uzbekistan;Tourist;2004-06-09;2009-09-02;Valid
Karen Ellis;487468575;1980-02-19;Malta;Student;2021-02-19;2013-05-28;Expired
Brian Mccoy;856512137;1969-06-10;Mozambique;Work;2020-09-26;2022-07-07;Pending
Jose Gibson;793604654;1973-01-08;United Kingdom;Tourist;2001-10-26;2014-10-08;Expired
Thomas Green;585323016;1959-11-15;Mozambique;Diplomatic;2019-07-29;2008-10-19;Pending
John Rogers;694412856;1984-12-29;Sudan;Student;2019-11-15;2011-07-30;Expired
Paige Brown;264430662;2002-11-20;Niue;Tourist;2010-08-02;2002-08-31;Expired
Rebecca Cook;387178480;1964-01-01;Morocco;Tourist;2021-07-04;2018-08-02;Expired
Lisa Torres;118940603;1978-07-10;Cambodia;Tourist;2023-01-12;2019-04-01;Expired
Tammy Padilla;889665440;1982-02-06;San Marino;Diplomatic;2004-02-19;2014-01-19;Valid
Tony Hicks;849241139;1982-04-17;Switzerland;Tourist;2002-07-24;2023-10-01;Valid
Lee Cox;674274146;1996-04-30;Kuwait;Work;2008-07-18;2013-07-20;Expired
Veronica Mullins;247167024;1953-07-21;Heard Island and McDonald Islands;Work;2002-07-29;2006-07-31;Expired
Kathleen Taylor;168442916;2001-01-30;Grenada;Student;2014-08-31;2015-03-28;Pending
Sandra Galvan;996148478;1965-12-16;Cook Islands;Diplomatic;2022-01-10;2020-09-03;Expired
Chelsea Clark;397699893;1968-11-22;South Georgia and the South Sandwich Islands;Work;2022-06-30;2004-02-02;Pending
Cynthia Chang;291076957;1954-08-28;Saint Barthelemy;Work;2009-08-30;2017-08-30;Expired
Julie Hill;466744482;1962-12-20;Gibraltar;Student;2007-01-13;2018-08-04;Valid
Erin Schneider;183307371;1961-12-20;Estonia;Tourist;2023-09-02;2006-12-17;Valid
Sara Smith;160812124;1995-09-12;Belgium;Tourist;2003-03-18;2022-07-30;Pending
Christopher Bell;579656989;2005-02-03;Greece;Tourist;2000-09-04;2020-07-29;Valid
Anna Crawford;931335258;1992-11-11;Bolivia;Tourist;2014-02-21;2020-12-13;Valid
David Miller;30173540;2005-06-23;Canada;Tourist;2020-03-24;2018-12-29;Valid
Katherine Cummings;917356594;1967-11-27;Moldova;Diplomatic;2005-07-04;2013-03-15;Valid
Christina Haynes;826078409;1954-04-24;Mauritius;Work;2014-01-10;2000-09-19;Expired
Samantha Daniels;248673012;1977-12-24;Paraguay;Diplomatic;2005-03-03;2005-06-07;Pending
Austin Young;727819336;1962-05-14;Saudi Arabia;Tourist;2000-10-21;2004-12-16;Pending
John Thomas;512754133;1963-03-09;Trinidad and Tobago;Tourist;2022-01-22;2019-08-13;Valid
Brandon Ramirez;615179969;1977-11-11;Romania;Tourist;2020-09-30;2007-12-09;Pending
Amber Reed;831274197;1960-01-09;Andorra;Work;2013-05-07;2016-02-19;Pending
Taylor Berger;822299846;1955-01-28;Aruba;Student;2015-12-13;2015-10-30;Pending
Cynthia Hicks;550428535;1970-02-01;Congo;Student;2000-01-27;2010-04-13;Pending
Miss Nicole Krueger;50464276;1982-02-07;Isle of Man;Tourist;2007-08-30;2002-02-27;Valid
Lauren Schmidt;246581529;2001-11-13;Svalbard & Jan Mayen Islands;Tourist;2003-06-01;2014-01-17;Pending
Stephanie Nelson;662455147;2000-01-03;Seychelles;Student;2016-09-18;2009-05-07;Expired
Edward Roberts;932513150;2002-07-27;Equatorial Guinea;Diplomatic;2022-11-26;2000-07-20;Expired
Christopher Vasquez;580305265;1955-07-07;Saint Barthelemy;Work;2003-02-10;2013-11-19;Expired
Mr. Nathaniel Macdonald DVM;37718969;1994-03-27;Dominica;Diplomatic;2009-12-09;2023-06-22;Pending
Evan Terry;584043149;1971-09-22;Egypt;Tourist;2004-12-15;2013-03-24;Expired
Laura Lawrence;194505929;1981-07-07;Micronesia;Work;2022-01-07;2003-11-28;Expired
Christine Roberts;50977939;1993-01-27;Venezuela;Work;2000-06-19;2016-09-28;Expired
John Hicks;549536516;1987-05-03;Belize;Tourist;2003-11-08;2020-02-16;Pending
James Powell;161582465;1994-11-10;Tajikistan;Work;2017-09-12;2013-09-18;Pending
Jacob Beasley MD;237278546;2000-01-03;Djibouti;Work;2013-02-07;2002-05-01;Expired
Lisa Williams;871584446;1979-11-22;Cocos (Keeling) Islands;Diplomatic;2002-05-17;2000-06-05;Valid
Joseph Cross;349790521;1983-02-23;Palau;Student;2013-09-22;2018-12-24;Expired
Danielle White;927669354;1955-11-10;Austria;Tourist;2000-02-28;2010-03-23;Valid
Tracy Weaver;686956591;1976-11-10;Madagascar;Tourist;2001-07-24;2022-10-18;Expired
Crystal Ward;207637692;1971-01-04;United States of America;Diplomatic;2004-10-26;2010-06-13;Pending
Sandra Galloway;578046773;1983-11-26;Bolivia;Tourist;2017-12-20;2001-09-22;Pending
Gregory Castro;765518864;1980-05-08;Antigua and Barbuda;Tourist;2014-03-20;2002-09-16;Expired
Thomas Fox;584826738;1992-06-29;Antigua and Barbuda;Diplomatic;2006-12-23;2007-10-31;Expired
Harry Love;401509448;1985-07-13;Sao Tome and Principe;Tourist;2021-10-29;2022-03-27;Expired
Ashley Green;939018054;1968-04-14;Tajikistan;Student;2015-12-01;2010-08-06;Pending
Sean Murray;171591110;1985-12-17;Lithuania;Student;2010-11-14;2015-04-08;Pending
Henry Mcdonald;279821009;1992-08-04;Norway;Tourist;2014-11-11;2012-05-31;Pending
Michael Wells;167701090;1979-11-07;Holy See (Vatican City State);Diplomatic;2014-11-30;2010-10-25;Expired
Morgan Holt;776896465;1960-08-22;Honduras;Student;2022-06-26;2007-12-04;Valid
Catherine Gonzalez;729881682;1959-08-08;Denmark;Student;2009-07-24;2012-05-18;Expired
Rodney Porter;774043500;1981-02-01;Iran;Student;2002-07-24;2016-12-22;Pending
Julie Koch;829631693;2003-11-06;Afghanistan;Diplomatic;2011-08-12;2014-10-07;Expired
Joanne Elliott;193347835;1991-06-13;Haiti;Student;2022-08-24;2005-08-10;Pending
Doris Jones;551744215;1985-01-30;Marshall Islands;Work;2006-03-28;2007-03-27;Valid
Krista Hawkins;782066593;1973-02-03;Vanuatu;Diplomatic;2006-12-04;2005-07-15;Expired
Amy Newman;725291758;1999-01-05;Colombia;Diplomatic;2018-04-16;2009-01-18;Pending
Danielle Dixon;371487554;2004-12-08;Slovenia;Tourist;2007-06-14;2016-01-26;Valid
Darlene Hodges;758329568;1986-05-26;United States Minor Outlying Islands;Work;2013-08-22;2014-12-26;Valid
Heather Melendez;726598670;1956-08-18;Madagascar;Work;2023-08-20;2003-04-05;Valid
Shawn Wilson;474862294;1998-10-28;Ethiopia;Student;2018-03-21;2015-10-28;Pending
Kristin Terrell;859217052;1976-10-09;Malta;Tourist;2020-02-19;2008-09-19;Valid
Jason Mueller;151376179;1988-12-06;Azerbaijan;Tourist;2003-07-12;2019-08-04;Expired
Eric Cunningham;836139667;1986-11-16;Argentina;Student;2014-07-22;2019-05-13;Expired
Yvonne Miller;870523079;1975-09-17;Guinea-Bissau;Student;2020-07-16;2013-10-11;Valid
William Lane;684588008;1970-02-06;Swaziland;Diplomatic;2014-04-25;2008-11-30;Pending
Donna Hall;238787731;1963-01-09;Mexico;Student;2003-11-26;2005-11-17;Expired
Bryan Gray;502215526;1968-10-03;Somalia;Tourist;2004-05-04;2013-05-02;Expired
Michael Stephenson;992263549;1982-12-05;Azerbaijan;Tourist;2005-10-20;2006-11-10;Pending
Ruth Reid;109572939;1980-09-19;United States of America;Tourist;2015-08-22;2018-04-23;Expired
Paula Smith;224625663;2002-04-18;Togo;Diplomatic;2013-06-01;2002-12-15;Pending
William Middleton;682766753;1976-11-16;United Kingdom;Student;2006-10-10;2008-03-26;Pending
Richard Hoffman;459120918;1994-01-20;Finland;Work;2003-01-25;2020-02-11;Pending
Jason Jackson;319621797;1961-05-30;Tokelau;Tourist;2006-12-23;2010-08-15;Valid
Charles Brewer;310001384;1975-05-14;Australia;Diplomatic;2020-12-06;2002-06-26;Expired
Frank Stevens;803756786;1974-06-01;El Salvador;Work;2006-10-15;2011-06-05;Expired
Samantha Young;259176960;1959-12-20;Portugal;Student;2015-09-03;2012-02-01;Expired
Erika Long;429075553;1955-06-11;Bouvet Island (Bouvetoya);Student;2005-11-25;2023-02-13;Expired
Kelly Caldwell;665901882;2001-05-06;Tuvalu;Work;2019-11-05;2001-12-22;Valid
Monica Ortiz;298863121;1999-01-21;United States Virgin Islands;Work;2012-10-24;2019-06-22;Pending
Jamie Duncan;695123730;1955-03-08;Bahrain;Diplomatic;2017-05-23;2008-07-09;Pending
John Harris;439350345;1986-03-17;Palau;Tourist;2009-07-08;2015-11-02;Pending
Jacqueline Diaz;937455575;1955-09-20;Thailand;Tourist;2006-07-16;2019-05-13;Expired
Brian Rivera;128531377;1952-12-13;Jersey;Tourist;2007-05-02;2020-07-11;Expired
Sarah Williams;745907222;1961-11-19;Dominica;Tourist;2010-05-16;2007-10-06;Expired
Matthew Bennett;299298743;1972-10-06;Timor-Leste;Tourist;2004-12-27;2009-11-30;Pending
Jamie Kramer;101925261;1954-05-20;Burundi;Tourist;2017-05-30;2017-07-02;Expired
Bruce Bell;165531224;1979-01-18;Kyrgyz Republic;Diplomatic;2000-11-16;2021-04-25;Expired
